 ------- 10/18/2010 2:50:45 PM -------- 
Red, 2, RFIES, Predicted, 10/18/2010 2:56:45 PM, 00:04:34, Revenue, 1
Red, 2, RSHAS, Predicted, 10/18/2010 2:59:45 PM, 00:07:34, Revenue, 1
Red, 2, RASHS, Predicted, 10/18/2010 3:01:45 PM, 00:09:34, Revenue, 1
Red, 5, RDTCN, Arrived, 10/18/2010 2:51:03 PM, -00:01:07, Revenue, 0
Red, 5, RPRKN, Predicted, 10/18/2010 2:53:03 PM, 00:00:52, Revenue, 0
Red, 5, RMGHN, Predicted, 10/18/2010 2:55:03 PM, 00:02:52, Revenue, 0
Red, 5, RKENN, Predicted, 10/18/2010 2:57:03 PM, 00:04:52, Revenue, 0
Red, 5, RCENN, Predicted, 10/18/2010 2:59:03 PM, 00:06:52, Revenue, 0
Red, 5, RHARN, Predicted, 10/18/2010 3:03:03 PM, 00:10:52, Revenue, 0
Red, 5, RPORN, Predicted, 10/18/2010 3:06:03 PM, 00:13:52, Revenue, 0
Red, 5, RDAVN, Predicted, 10/18/2010 3:09:03 PM, 00:16:52, Revenue, 0
Red, 5, RALEN, Predicted, 10/18/2010 3:12:03 PM, 00:19:52, Revenue, 0
Red, 10, RCENS, Arrived, 10/18/2010 2:51:15 PM, -00:00:55, Revenue, 0
Red, 10, RKENS, Predicted, 10/18/2010 2:54:15 PM, 00:02:04, Revenue, 0
Red, 10, RMGHS, Predicted, 10/18/2010 2:56:15 PM, 00:04:04, Revenue, 0
Red, 10, RPRKS, Predicted, 10/18/2010 2:58:15 PM, 00:06:04, Revenue, 0
Red, 10, RDTCS, Predicted, 10/18/2010 3:00:15 PM, 00:08:04, Revenue, 0
Red, 10, RSOUS, Predicted, 10/18/2010 3:02:15 PM, 00:10:04, Revenue, 0
Red, 10, RBROS, Predicted, 10/18/2010 3:04:15 PM, 00:12:04, Revenue, 0
Red, 10, RANDS, Predicted, 10/18/2010 3:06:15 PM, 00:14:04, Revenue, 0
Red, 10, RJFKS, Predicted, 10/18/2010 3:08:15 PM, 00:16:04, Revenue, 0
Red, 10, RNQUS, Predicted, 10/18/2010 3:17:15 PM, 00:25:04, Revenue, 0
Red, 10, RWOLS, Predicted, 10/18/2010 3:20:15 PM, 00:28:04, Revenue, 0
Red, 10, RQUCS, Predicted, 10/18/2010 3:23:15 PM, 00:31:04, Revenue, 0
Red, 10, RQUAS, Predicted, 10/18/2010 3:26:15 PM, 00:34:04, Revenue, 0
Red, 10, RBRAS, Predicted, 10/18/2010 3:30:15 PM, 00:38:04, Revenue, 0
Red, 18, RHARS, Arrived, 10/18/2010 2:51:51 PM, -00:00:19, Revenue, 1
Red, 18, RCENS, Predicted, 10/18/2010 2:54:51 PM, 00:02:40, Revenue, 1
Red, 18, RKENS, Predicted, 10/18/2010 2:57:51 PM, 00:05:40, Revenue, 1
Red, 18, RMGHS, Predicted, 10/18/2010 2:59:51 PM, 00:07:40, Revenue, 1
Red, 18, RPRKS, Predicted, 10/18/2010 3:01:51 PM, 00:09:40, Revenue, 1
Red, 18, RDTCS, Predicted, 10/18/2010 3:03:51 PM, 00:11:40, Revenue, 1
Red, 18, RSOUS, Predicted, 10/18/2010 3:05:51 PM, 00:13:40, Revenue, 1
Red, 18, RBROS, Predicted, 10/18/2010 3:07:51 PM, 00:15:40, Revenue, 1
Red, 18, RANDS, Predicted, 10/18/2010 3:09:51 PM, 00:17:40, Revenue, 1
Red, 18, RJFKS, Predicted, 10/18/2010 3:11:51 PM, 00:19:40, Revenue, 1
Red, 18, RSAVS, Predicted, 10/18/2010 3:14:51 PM, 00:22:40, Revenue, 1
Red, 18, RFIES, Predicted, 10/18/2010 3:17:51 PM, 00:25:40, Revenue, 1
Red, 18, RSHAS, Predicted, 10/18/2010 3:20:51 PM, 00:28:40, Revenue, 1
Red, 18, RASHS, Predicted, 10/18/2010 3:22:51 PM, 00:30:40, Revenue, 1
Red, 19, RPORN, Recorded, 10/18/2010 2:52:08 PM, -00:00:02, Nonrevenue, 0
Red, 20, RDAVN, Arrived, 10/18/2010 2:52:10 PM, 00:00:00, Revenue, 0
Red, 20, RALEN, Predicted, 10/18/2010 2:55:10 PM, 00:03:00, Revenue, 0
 ------- 10/18/2010 2:52:17 PM -------- 
Red, 2, RSAVS, Arrived, 10/18/2010 2:52:17 PM, 00:00:00, Revenue, 1
Red, 2, RFIES, Predicted, 10/18/2010 2:55:17 PM, 00:03:00, Revenue, 1
Red, 2, RSHAS, Predicted, 10/18/2010 2:58:17 PM, 00:06:00, Revenue, 1
Red, 2, RASHS, Predicted, 10/18/2010 3:00:17 PM, 00:08:00, Revenue, 1
Red, 5, RDTCN, Arrived, 10/18/2010 2:51:03 PM, -00:01:13, Revenue, 0
Red, 5, RPRKN, Predicted, 10/18/2010 2:53:03 PM, 00:00:46, Revenue, 0
Red, 5, RMGHN, Predicted, 10/18/2010 2:55:03 PM, 00:02:46, Revenue, 0
Red, 5, RKENN, Predicted, 10/18/2010 2:57:03 PM, 00:04:46, Revenue, 0
Red, 5, RCENN, Predicted, 10/18/2010 2:59:03 PM, 00:06:46, Revenue, 0
Red, 5, RHARN, Predicted, 10/18/2010 3:03:03 PM, 00:10:46, Revenue, 0
Red, 5, RPORN, Predicted, 10/18/2010 3:06:03 PM, 00:13:46, Revenue, 0
Red, 5, RDAVN, Predicted, 10/18/2010 3:09:03 PM, 00:16:46, Revenue, 0
Red, 5, RALEN, Predicted, 10/18/2010 3:12:03 PM, 00:19:46, Revenue, 0
Red, 10, RCENS, Arrived, 10/18/2010 2:51:15 PM, -00:01:02, Revenue, 0
Red, 10, RKENS, Predicted, 10/18/2010 2:54:15 PM, 00:01:57, Revenue, 0
Red, 10, RMGHS, Predicted, 10/18/2010 2:56:15 PM, 00:03:57, Revenue, 0
Red, 10, RPRKS, Predicted, 10/18/2010 2:58:15 PM, 00:05:57, Revenue, 0
Red, 10, RDTCS, Predicted, 10/18/2010 3:00:15 PM, 00:07:57, Revenue, 0
Red, 10, RSOUS, Predicted, 10/18/2010 3:02:15 PM, 00:09:57, Revenue, 0
Red, 10, RBROS, Predicted, 10/18/2010 3:04:15 PM, 00:11:57, Revenue, 0
Red, 10, RANDS, Predicted, 10/18/2010 3:06:15 PM, 00:13:57, Revenue, 0
Red, 10, RJFKS, Predicted, 10/18/2010 3:08:15 PM, 00:15:57, Revenue, 0
Red, 10, RNQUS, Predicted, 10/18/2010 3:17:15 PM, 00:24:57, Revenue, 0
Red, 10, RWOLS, Predicted, 10/18/2010 3:20:15 PM, 00:27:57, Revenue, 0
Red, 10, RQUCS, Predicted, 10/18/2010 3:23:15 PM, 00:30:57, Revenue, 0
Red, 10, RQUAS, Predicted, 10/18/2010 3:26:15 PM, 00:33:57, Revenue, 0
Red, 10, RBRAS, Predicted, 10/18/2010 3:30:15 PM, 00:37:57, Revenue, 0
Red, 18, RHARS, Arrived, 10/18/2010 2:51:51 PM, -00:00:25, Revenue, 1
Red, 18, RCENS, Predicted, 10/18/2010 2:54:51 PM, 00:02:34, Revenue, 1
Red, 18, RKENS, Predicted, 10/18/2010 2:57:51 PM, 00:05:34, Revenue, 1
Red, 18, RMGHS, Predicted, 10/18/2010 2:59:51 PM, 00:07:34, Revenue, 1
Red, 18, RPRKS, Predicted, 10/18/2010 3:01:51 PM, 00:09:34, Revenue, 1
Red, 18, RDTCS, Predicted, 10/18/2010 3:03:51 PM, 00:11:34, Revenue, 1
Red, 18, RSOUS, Predicted, 10/18/2010 3:05:51 PM, 00:13:34, Revenue, 1
Red, 18, RBROS, Predicted, 10/18/2010 3:07:51 PM, 00:15:34, Revenue, 1
Red, 18, RANDS, Predicted, 10/18/2010 3:09:51 PM, 00:17:34, Revenue, 1
Red, 18, RJFKS, Predicted, 10/18/2010 3:11:51 PM, 00:19:34, Revenue, 1
Red, 18, RSAVS, Predicted, 10/18/2010 3:14:51 PM, 00:22:34, Revenue, 1
Red, 18, RFIES, Predicted, 10/18/2010 3:17:51 PM, 00:25:34, Revenue, 1
Red, 18, RSHAS, Predicted, 10/18/2010 3:20:51 PM, 00:28:34, Revenue, 1
Red, 18, RASHS, Predicted, 10/18/2010 3:22:51 PM, 00:30:34, Revenue, 1
Red, 19, RPORN, Recorded, 10/18/2010 2:52:08 PM, -00:00:08, Nonrevenue, 0
Red, 20, RDAVN, Arrived, 10/18/2010 2:52:10 PM, -00:00:06, Revenue, 0
Red, 20, RALEN, Predicted, 10/18/2010 2:55:10 PM, 00:02:53, Revenue, 0
 ------- 10/18/2010 2:52:21 PM -------- 
Red, 2, RSAVS, Arrived, 10/18/2010 2:52:17 PM, -00:00:04, Revenue, 1
Red, 2, RFIES, Predicted, 10/18/2010 2:55:17 PM, 00:02:55, Revenue, 1
Red, 2, RSHAS, Predicted, 10/18/2010 2:58:17 PM, 00:05:55, Revenue, 1
Red, 2, RASHS, Predicted, 10/18/2010 3:00:17 PM, 00:07:55, Revenue, 1
Red, 5, RDTCN, Arrived, 10/18/2010 2:51:03 PM, -00:01:17, Revenue, 0
